filename,iou,dice,ones_dice_diff,zeros_dice_diff
CRIS.pytorch/exp/busi_80_10_10_all_mixed/CRIS_R50/pred/134_benign.png,86.7841,92.9245,91.0152,92.9245
CRIS.pytorch/exp/busi_80_10_10_all_mixed/CRIS_R50/pred/103_normal.png,100.0000,100.0000,100.0000,0.0000
CRIS.pytorch/exp/busi_80_10_10_all_mixed/CRIS_R50/pred/75_malignant.png,17.0788,29.1748,-6.3772,29.1748
CRIS.pytorch/exp/busi_80_10_10_all_mixed/CRIS_R50/pred/24_benign.png,86.9897,93.0422,88.9195,93.0422
CRIS.pytorch/exp/busi_80_10_10_all_mixed/CRIS_R50/pred/55_normal.png,100.0000,100.0000,100.0000,0.0000
CRIS.pytorch/exp/busi_80_10_10_all_mixed/CRIS_R50/pred/293_benign.png,0.0000,0.0000,-7.8190,0.0000
CRIS.pytorch/exp/busi_80_10_10_all_mixed/CRIS_R50/pred/154_benign.png,78.3414,87.8555,86.2712,87.8555
CRIS.pytorch/exp/busi_80_10_10_all_mixed/CRIS_R50/pred/72_benign.png,87.6251,93.4044,78.6131,93.4044
CRIS.pytorch/exp/busi_80_10_10_all_mixed/CRIS_R50/pred/59_benign.png,87.6479,93.4174,83.4418,93.4174
CRIS.pytorch/exp/busi_80_10_10_all_mixed/CRIS_R50/pred/73_normal.png,100.0000,100.0000,100.0000,0.0000
CRIS.pytorch/exp/busi_80_10_10_all_mixed/CRIS_R50/pred/186_benign.png,90.8093,95.1833,80.6453,95.1833
CRIS.pytorch/exp/busi_80_10_10_all_mixed/CRIS_R50/pred/374_benign.png,49.4928,66.2143,65.1089,66.2143
CRIS.pytorch/exp/busi_80_10_10_all_mixed/CRIS_R50/pred/53_malignant.png,51.2988,67.8112,56.6227,67.8112
CRIS.pytorch/exp/busi_80_10_10_all_mixed/CRIS_R50/pred/392_benign.png,78.1310,87.7231,47.2040,87.7231
CRIS.pytorch/exp/busi_80_10_10_all_mixed/CRIS_R50/pred/209_malignant.png,56.6980,72.3659,68.2520,72.3659
CRIS.pytorch/exp/busi_80_10_10_all_mixed/CRIS_R50/pred/41_normal.png,100.0000,100.0000,100.0000,0.0000
CRIS.pytorch/exp/busi_80_10_10_all_mixed/CRIS_R50/pred/198_malignant.png,0.0000,0.0000,-14.8462,0.0000
CRIS.pytorch/exp/busi_80_10_10_all_mixed/CRIS_R50/pred/435_benign.png,54.1491,70.2555,67.3248,70.2555
CRIS.pytorch/exp/busi_80_10_10_all_mixed/CRIS_R50/pred/337_benign.png,80.9731,89.4863,84.3734,89.4863
CRIS.pytorch/exp/busi_80_10_10_all_mixed/CRIS_R50/pred/102_malignant.png,83.2488,90.8588,68.4144,90.8588
CRIS.pytorch/exp/busi_80_10_10_all_mixed/CRIS_R50/pred/71_malignant.png,83.4753,90.9935,52.6338,90.9935
CRIS.pytorch/exp/busi_80_10_10_all_mixed/CRIS_R50/pred/428_benign.png,81.5378,89.8301,78.5236,89.8301
CRIS.pytorch/exp/busi_80_10_10_all_mixed/CRIS_R50/pred/128_malignant.png,83.4154,90.9579,37.8524,90.9579
CRIS.pytorch/exp/busi_80_10_10_all_mixed/CRIS_R50/pred/13_malignant.png,73.4539,84.6956,69.2008,84.6956
CRIS.pytorch/exp/busi_80_10_10_all_mixed/CRIS_R50/pred/165_malignant.png,76.6589,86.7875,27.4247,86.7875
CRIS.pytorch/exp/busi_80_10_10_all_mixed/CRIS_R50/pred/387_benign.png,92.5739,96.1438,82.6983,96.1438
CRIS.pytorch/exp/busi_80_10_10_all_mixed/CRIS_R50/pred/187_malignant.png,27.2085,42.7777,21.0646,42.7777
CRIS.pytorch/exp/busi_80_10_10_all_mixed/CRIS_R50/pred/48_malignant.png,84.6028,91.6593,82.7902,91.6593
CRIS.pytorch/exp/busi_80_10_10_all_mixed/CRIS_R50/pred/55_benign.png,82.9742,90.6950,86.9474,90.6950
CRIS.pytorch/exp/busi_80_10_10_all_mixed/CRIS_R50/pred/240_benign.png,76.8309,86.8976,67.5368,86.8976
CRIS.pytorch/exp/busi_80_10_10_all_mixed/CRIS_R50/pred/54_benign.png,88.2310,93.7476,80.3188,93.7476
CRIS.pytorch/exp/busi_80_10_10_all_mixed/CRIS_R50/pred/210_benign.png,0.0000,0.0000,-14.9170,0.0000
CRIS.pytorch/exp/busi_80_10_10_all_mixed/CRIS_R50/pred/199_malignant.png,60.4689,75.3652,62.8960,75.3652
CRIS.pytorch/exp/busi_80_10_10_all_mixed/CRIS_R50/pred/299_benign.png,12.4464,22.1376,11.1703,22.1376
CRIS.pytorch/exp/busi_80_10_10_all_mixed/CRIS_R50/pred/411_benign.png,88.4731,93.8840,73.3633,93.8840
CRIS.pytorch/exp/busi_80_10_10_all_mixed/CRIS_R50/pred/87_malignant.png,91.4972,95.5598,75.8847,95.5598
CRIS.pytorch/exp/busi_80_10_10_all_mixed/CRIS_R50/pred/80_benign.png,87.2274,93.1780,55.9218,93.1780
CRIS.pytorch/exp/busi_80_10_10_all_mixed/CRIS_R50/pred/4_malignant.png,71.7154,83.5282,70.7125,83.5282
CRIS.pytorch/exp/busi_80_10_10_all_mixed/CRIS_R50/pred/190_benign.png,83.0813,90.7589,74.4011,90.7589
CRIS.pytorch/exp/busi_80_10_10_all_mixed/CRIS_R50/pred/12_normal.png,100.0000,100.0000,100.0000,0.0000
CRIS.pytorch/exp/busi_80_10_10_all_mixed/CRIS_R50/pred/333_benign.png,85.1500,91.9795,72.0300,91.9795
CRIS.pytorch/exp/busi_80_10_10_all_mixed/CRIS_R50/pred/141_benign.png,89.4193,94.4141,26.6042,94.4141
CRIS.pytorch/exp/busi_80_10_10_all_mixed/CRIS_R50/pred/49_benign.png,93.8375,96.8208,48.3877,96.8208
CRIS.pytorch/exp/busi_80_10_10_all_mixed/CRIS_R50/pred/270_benign.png,70.3297,82.5806,78.2310,82.5806
CRIS.pytorch/exp/busi_80_10_10_all_mixed/CRIS_R50/pred/426_benign.png,92.5354,96.1230,48.8100,96.1230
CRIS.pytorch/exp/busi_80_10_10_all_mixed/CRIS_R50/pred/133_normal.png,100.0000,100.0000,100.0000,0.0000
CRIS.pytorch/exp/busi_80_10_10_all_mixed/CRIS_R50/pred/49_normal.png,100.0000,100.0000,100.0000,0.0000
CRIS.pytorch/exp/busi_80_10_10_all_mixed/CRIS_R50/pred/239_benign.png,75.7330,86.1910,81.5972,86.1910
CRIS.pytorch/exp/busi_80_10_10_all_mixed/CRIS_R50/pred/116_malignant.png,16.7865,28.7473,18.5418,28.7473
CRIS.pytorch/exp/busi_80_10_10_all_mixed/CRIS_R50/pred/169_malignant.png,3.3994,6.5754,5.5684,6.5754
CRIS.pytorch/exp/busi_80_10_10_all_mixed/CRIS_R50/pred/23_benign.png,90.3192,94.9134,86.9086,94.9134
CRIS.pytorch/exp/busi_80_10_10_all_mixed/CRIS_R50/pred/60_normal.png,100.0000,100.0000,100.0000,0.0000
CRIS.pytorch/exp/busi_80_10_10_all_mixed/CRIS_R50/pred/129_benign.png,83.6028,91.0692,88.2561,91.0692
CRIS.pytorch/exp/busi_80_10_10_all_mixed/CRIS_R50/pred/66_normal.png,100.0000,100.0000,100.0000,0.0000
CRIS.pytorch/exp/busi_80_10_10_all_mixed/CRIS_R50/pred/308_benign.png,58.7209,73.9927,70.7924,73.9927
CRIS.pytorch/exp/busi_80_10_10_all_mixed/CRIS_R50/pred/71_normal.png,100.0000,100.0000,100.0000,0.0000
CRIS.pytorch/exp/busi_80_10_10_all_mixed/CRIS_R50/pred/53_normal.png,0.0000,0.0000,0.0000,-100.0000
CRIS.pytorch/exp/busi_80_10_10_all_mixed/CRIS_R50/pred/286_benign.png,91.3236,95.4651,73.1020,95.4651
CRIS.pytorch/exp/busi_80_10_10_all_mixed/CRIS_R50/pred/219_benign.png,0.0000,0.0000,-4.9569,0.0000
CRIS.pytorch/exp/busi_80_10_10_all_mixed/CRIS_R50/pred/13_normal.png,100.0000,100.0000,100.0000,0.0000
CRIS.pytorch/exp/busi_80_10_10_all_mixed/CRIS_R50/pred/264_benign.png,90.9384,95.2542,78.7449,95.2542
CRIS.pytorch/exp/busi_80_10_10_all_mixed/CRIS_R50/pred/116_benign.png,0.0000,0.0000,-2.4132,0.0000
CRIS.pytorch/exp/busi_80_10_10_all_mixed/CRIS_R50/pred/64_malignant.png,30.1167,46.2918,33.3775,46.2918
CRIS.pytorch/exp/busi_80_10_10_all_mixed/CRIS_R50/pred/220_benign.png,80.3175,89.0845,82.9229,89.0845
CRIS.pytorch/exp/busi_80_10_10_all_mixed/CRIS_R50/pred/244_benign.png,78.7135,88.0891,84.0597,88.0891
CRIS.pytorch/exp/busi_80_10_10_all_mixed/CRIS_R50/pred/129_malignant.png,75.1621,85.8201,28.9639,85.8201
CRIS.pytorch/exp/busi_80_10_10_all_mixed/CRIS_R50/pred/140_malignant.png,60.6047,75.4706,54.6405,75.4706
CRIS.pytorch/exp/busi_80_10_10_all_mixed/CRIS_R50/pred/214_benign.png,86.5065,92.7652,82.1636,92.7652
CRIS.pytorch/exp/busi_80_10_10_all_mixed/CRIS_R50/pred/227_benign.png,89.0830,94.2264,89.2479,94.2264
CRIS.pytorch/exp/busi_80_10_10_all_mixed/CRIS_R50/pred/356_benign.png,89.8564,94.6572,68.8107,94.6572
CRIS.pytorch/exp/busi_80_10_10_all_mixed/CRIS_R50/pred/138_benign.png,66.4399,79.8365,78.9475,79.8365
CRIS.pytorch/exp/busi_80_10_10_all_mixed/CRIS_R50/pred/20_benign.png,59.1734,74.3509,66.1056,74.3509
CRIS.pytorch/exp/busi_80_10_10_all_mixed/CRIS_R50/pred/38_normal.png,100.0000,100.0000,100.0000,0.0000
CRIS.pytorch/exp/busi_80_10_10_all_mixed/CRIS_R50/pred/96_malignant.png,78.7455,88.1090,53.0288,88.1090
CRIS.pytorch/exp/busi_80_10_10_all_mixed/CRIS_R50/pred/290_benign.png,90.6156,95.0768,71.7033,95.0768
CRIS.pytorch/exp/busi_80_10_10_all_mixed/CRIS_R50/pred/65_benign.png,89.9754,94.7232,86.6522,94.7232
CRIS.pytorch/exp/busi_80_10_10_all_mixed/CRIS_R50/pred/30_malignant.png,78.0573,87.6766,46.0831,87.6766
CRIS.pytorch/exp/busi_80_10_10_all_mixed/CRIS_R50/pred/431_benign.png,47.8261,64.7059,61.5157,64.7059
