filename,surface_dice,hausdorff_distance,iou,dice
CRIS.pytorch/exp/busi_80_10_10_p0_i/CRIS_R50/pred/24_benign.png,3.7162,27234.7205,12.9725,22.9657
CRIS.pytorch/exp/busi_80_10_10_p0_i/CRIS_R50/pred/73_normal.png,0.0000,inf,,
CRIS.pytorch/exp/busi_80_10_10_p0_i/CRIS_R50/pred/103_normal.png,0.0000,inf,,
CRIS.pytorch/exp/busi_80_10_10_p0_i/CRIS_R50/pred/374_benign.png,1.5592,45469.6602,7.5863,14.1028
CRIS.pytorch/exp/busi_80_10_10_p0_i/CRIS_R50/pred/41_normal.png,0.0000,inf,,
CRIS.pytorch/exp/busi_80_10_10_p0_i/CRIS_R50/pred/59_benign.png,5.4054,1581.1388,84.9824,91.8816
CRIS.pytorch/exp/busi_80_10_10_p0_i/CRIS_R50/pred/72_benign.png,2.0284,1077.0330,87.5134,93.3410
CRIS.pytorch/exp/busi_80_10_10_p0_i/CRIS_R50/pred/134_benign.png,0.0000,33571.5653,0.0000,0.0000
CRIS.pytorch/exp/busi_80_10_10_p0_i/CRIS_R50/pred/392_benign.png,2.6390,5600.0000,79.8167,88.7756
CRIS.pytorch/exp/busi_80_10_10_p0_i/CRIS_R50/pred/55_normal.png,0.0000,inf,,
CRIS.pytorch/exp/busi_80_10_10_p0_i/CRIS_R50/pred/209_malignant.png,0.5382,41149.1191,5.1298,9.7589
CRIS.pytorch/exp/busi_80_10_10_p0_i/CRIS_R50/pred/154_benign.png,0.3091,29606.0805,0.6482,1.2880
CRIS.pytorch/exp/busi_80_10_10_p0_i/CRIS_R50/pred/198_malignant.png,0.5569,36038.0355,20.2082,33.6220
CRIS.pytorch/exp/busi_80_10_10_p0_i/CRIS_R50/pred/53_malignant.png,1.4508,16834.4884,2.0621,4.0409
CRIS.pytorch/exp/busi_80_10_10_p0_i/CRIS_R50/pred/435_benign.png,0.1655,44535.8283,2.9210,5.6762
CRIS.pytorch/exp/busi_80_10_10_p0_i/CRIS_R50/pred/75_malignant.png,2.8353,29004.3100,21.3575,35.1977
CRIS.pytorch/exp/busi_80_10_10_p0_i/CRIS_R50/pred/293_benign.png,0.0000,30725.8849,0.0000,0.0000
CRIS.pytorch/exp/busi_80_10_10_p0_i/CRIS_R50/pred/186_benign.png,3.6095,1476.4823,90.1562,94.8233
CRIS.pytorch/exp/busi_80_10_10_p0_i/CRIS_R50/pred/102_malignant.png,0.9401,16478.4708,56.9008,72.5309
CRIS.pytorch/exp/busi_80_10_10_p0_i/CRIS_R50/pred/337_benign.png,0.6714,49430.8608,16.3068,28.0409
CRIS.pytorch/exp/busi_80_10_10_p0_i/CRIS_R50/pred/165_malignant.png,0.1527,11800.4237,57.1043,72.6960
CRIS.pytorch/exp/busi_80_10_10_p0_i/CRIS_R50/pred/13_malignant.png,0.9836,12050.3112,36.2562,53.2177
CRIS.pytorch/exp/busi_80_10_10_p0_i/CRIS_R50/pred/87_malignant.png,7.5630,3008.3218,84.9660,91.8720
CRIS.pytorch/exp/busi_80_10_10_p0_i/CRIS_R50/pred/71_malignant.png,0.3965,24331.2556,40.6796,57.8330
CRIS.pytorch/exp/busi_80_10_10_p0_i/CRIS_R50/pred/428_benign.png,0.0000,36240.5850,0.0000,0.0000
CRIS.pytorch/exp/busi_80_10_10_p0_i/CRIS_R50/pred/240_benign.png,1.8800,7571.6577,60.3775,75.2942
CRIS.pytorch/exp/busi_80_10_10_p0_i/CRIS_R50/pred/187_malignant.png,0.0975,41371.7295,9.5713,17.4704
CRIS.pytorch/exp/busi_80_10_10_p0_i/CRIS_R50/pred/387_benign.png,6.1338,22355.7599,86.4176,92.7140
CRIS.pytorch/exp/busi_80_10_10_p0_i/CRIS_R50/pred/128_malignant.png,0.1717,26006.9222,20.6520,34.2340
CRIS.pytorch/exp/busi_80_10_10_p0_i/CRIS_R50/pred/411_benign.png,0.4329,24185.9463,1.1834,2.3391
CRIS.pytorch/exp/busi_80_10_10_p0_i/CRIS_R50/pred/210_benign.png,0.0000,22717.8344,0.0000,0.0000
CRIS.pytorch/exp/busi_80_10_10_p0_i/CRIS_R50/pred/299_benign.png,0.2426,32389.0414,0.0303,0.0605
CRIS.pytorch/exp/busi_80_10_10_p0_i/CRIS_R50/pred/199_malignant.png,0.0000,32786.5826,0.0000,0.0000
CRIS.pytorch/exp/busi_80_10_10_p0_i/CRIS_R50/pred/4_malignant.png,1.2714,30363.7942,21.4184,35.2803
CRIS.pytorch/exp/busi_80_10_10_p0_i/CRIS_R50/pred/12_normal.png,0.0000,inf,,
CRIS.pytorch/exp/busi_80_10_10_p0_i/CRIS_R50/pred/80_benign.png,3.9915,20678.4912,70.7239,82.8518
CRIS.pytorch/exp/busi_80_10_10_p0_i/CRIS_R50/pred/54_benign.png,2.2989,13224.5983,60.3833,75.2988
CRIS.pytorch/exp/busi_80_10_10_p0_i/CRIS_R50/pred/55_benign.png,7.2150,3736.3083,73.6339,84.8151
CRIS.pytorch/exp/busi_80_10_10_p0_i/CRIS_R50/pred/190_benign.png,3.0869,4527.6926,82.7743,90.5754
CRIS.pytorch/exp/busi_80_10_10_p0_i/CRIS_R50/pred/48_malignant.png,6.2344,2282.5424,83.0476,90.7388
CRIS.pytorch/exp/busi_80_10_10_p0_i/CRIS_R50/pred/66_normal.png,0.0000,inf,,
CRIS.pytorch/exp/busi_80_10_10_p0_i/CRIS_R50/pred/270_benign.png,6.7979,18906.6126,48.7232,65.5220
CRIS.pytorch/exp/busi_80_10_10_p0_i/CRIS_R50/pred/49_normal.png,0.0000,inf,,
CRIS.pytorch/exp/busi_80_10_10_p0_i/CRIS_R50/pred/333_benign.png,0.2244,46072.1174,1.9818,3.8865
CRIS.pytorch/exp/busi_80_10_10_p0_i/CRIS_R50/pred/60_normal.png,0.0000,inf,,
CRIS.pytorch/exp/busi_80_10_10_p0_i/CRIS_R50/pred/169_malignant.png,1.0169,46338.3211,12.8584,22.7868
CRIS.pytorch/exp/busi_80_10_10_p0_i/CRIS_R50/pred/141_benign.png,0.5947,18580.9042,15.6523,27.0678
CRIS.pytorch/exp/busi_80_10_10_p0_i/CRIS_R50/pred/426_benign.png,0.0000,35415.3921,0.0000,0.0000
CRIS.pytorch/exp/busi_80_10_10_p0_i/CRIS_R50/pred/239_benign.png,1.1257,2906.8884,46.2696,63.2662
CRIS.pytorch/exp/busi_80_10_10_p0_i/CRIS_R50/pred/71_normal.png,0.0000,inf,,
CRIS.pytorch/exp/busi_80_10_10_p0_i/CRIS_R50/pred/23_benign.png,8.3749,36299.4490,84.8206,91.7869
CRIS.pytorch/exp/busi_80_10_10_p0_i/CRIS_R50/pred/308_benign.png,0.8264,3041.3813,41.5175,58.6747
CRIS.pytorch/exp/busi_80_10_10_p0_i/CRIS_R50/pred/129_benign.png,9.2357,1838.4776,77.8728,87.5601
CRIS.pytorch/exp/busi_80_10_10_p0_i/CRIS_R50/pred/286_benign.png,0.0000,30723.4438,0.4273,0.8509
CRIS.pytorch/exp/busi_80_10_10_p0_i/CRIS_R50/pred/133_normal.png,0.0000,inf,,
CRIS.pytorch/exp/busi_80_10_10_p0_i/CRIS_R50/pred/116_malignant.png,0.6899,56412.7645,6.3271,11.9012
CRIS.pytorch/exp/busi_80_10_10_p0_i/CRIS_R50/pred/49_benign.png,5.6526,15781.3181,81.1902,89.6187
CRIS.pytorch/exp/busi_80_10_10_p0_i/CRIS_R50/pred/53_normal.png,0.0000,inf,,
CRIS.pytorch/exp/busi_80_10_10_p0_i/CRIS_R50/pred/13_normal.png,0.0000,inf,,
CRIS.pytorch/exp/busi_80_10_10_p0_i/CRIS_R50/pred/219_benign.png,0.0000,50813.8761,0.0000,0.0000
CRIS.pytorch/exp/busi_80_10_10_p0_i/CRIS_R50/pred/214_benign.png,0.6336,5162.3638,35.1815,52.0507
CRIS.pytorch/exp/busi_80_10_10_p0_i/CRIS_R50/pred/227_benign.png,2.5641,33815.0854,11.5016,20.6303
CRIS.pytorch/exp/busi_80_10_10_p0_i/CRIS_R50/pred/96_malignant.png,0.7039,27933.1344,7.6582,14.2269
CRIS.pytorch/exp/busi_80_10_10_p0_i/CRIS_R50/pred/20_benign.png,1.1411,30727.5121,9.0108,16.5319
CRIS.pytorch/exp/busi_80_10_10_p0_i/CRIS_R50/pred/116_benign.png,0.0000,73583.2861,0.0000,0.0000
CRIS.pytorch/exp/busi_80_10_10_p0_i/CRIS_R50/pred/264_benign.png,5.8252,1931.3208,81.3099,89.6916
CRIS.pytorch/exp/busi_80_10_10_p0_i/CRIS_R50/pred/138_benign.png,0.0000,62932.4241,0.0000,0.0000
CRIS.pytorch/exp/busi_80_10_10_p0_i/CRIS_R50/pred/244_benign.png,3.7500,2863.5642,58.8477,74.0932
CRIS.pytorch/exp/busi_80_10_10_p0_i/CRIS_R50/pred/38_normal.png,0.0000,inf,,
CRIS.pytorch/exp/busi_80_10_10_p0_i/CRIS_R50/pred/220_benign.png,3.5928,4197.6184,37.1684,54.1938
CRIS.pytorch/exp/busi_80_10_10_p0_i/CRIS_R50/pred/356_benign.png,3.7080,5964.0590,71.1548,83.1467
CRIS.pytorch/exp/busi_80_10_10_p0_i/CRIS_R50/pred/64_malignant.png,0.5680,51286.3530,9.9107,18.0340
CRIS.pytorch/exp/busi_80_10_10_p0_i/CRIS_R50/pred/140_malignant.png,0.9060,29211.8127,11.8108,21.1263
CRIS.pytorch/exp/busi_80_10_10_p0_i/CRIS_R50/pred/129_malignant.png,1.2001,26432.1774,41.3442,58.5015
CRIS.pytorch/exp/busi_80_10_10_p0_i/CRIS_R50/pred/290_benign.png,0.3506,18600.0000,1.1710,2.3148
CRIS.pytorch/exp/busi_80_10_10_p0_i/CRIS_R50/pred/431_benign.png,1.3860,40132.9042,18.3205,30.9676
CRIS.pytorch/exp/busi_80_10_10_p0_i/CRIS_R50/pred/30_malignant.png,0.0000,38225.6458,0.0000,0.0000
CRIS.pytorch/exp/busi_80_10_10_p0_i/CRIS_R50/pred/65_benign.png,4.5918,2400.0000,82.0548,90.1429
