filename,iou,dice,ones_dice_diff,zeros_dice_diff
CRIS.pytorch/exp/busi_80_10_10_p1_fn_frozen/CRIS_R50/pred/73_normal.png,100.0000,100.0000,100.0000,0.0000
CRIS.pytorch/exp/busi_80_10_10_p1_fn_frozen/CRIS_R50/pred/59_benign.png,87.4013,93.2772,83.3015,93.2772
CRIS.pytorch/exp/busi_80_10_10_p1_fn_frozen/CRIS_R50/pred/103_normal.png,100.0000,100.0000,100.0000,0.0000
CRIS.pytorch/exp/busi_80_10_10_p1_fn_frozen/CRIS_R50/pred/293_benign.png,3.1526,6.1124,-1.7066,6.1124
CRIS.pytorch/exp/busi_80_10_10_p1_fn_frozen/CRIS_R50/pred/154_benign.png,65.1462,78.8952,77.3108,78.8952
CRIS.pytorch/exp/busi_80_10_10_p1_fn_frozen/CRIS_R50/pred/41_normal.png,100.0000,100.0000,100.0000,0.0000
CRIS.pytorch/exp/busi_80_10_10_p1_fn_frozen/CRIS_R50/pred/186_benign.png,76.7253,86.8300,72.2920,86.8300
CRIS.pytorch/exp/busi_80_10_10_p1_fn_frozen/CRIS_R50/pred/209_malignant.png,76.6377,86.7739,82.6600,86.7739
CRIS.pytorch/exp/busi_80_10_10_p1_fn_frozen/CRIS_R50/pred/337_benign.png,46.7099,63.6766,58.5637,63.6766
CRIS.pytorch/exp/busi_80_10_10_p1_fn_frozen/CRIS_R50/pred/198_malignant.png,0.2616,0.5217,-14.3245,0.5217
CRIS.pytorch/exp/busi_80_10_10_p1_fn_frozen/CRIS_R50/pred/72_benign.png,86.1922,92.5841,77.7927,92.5841
CRIS.pytorch/exp/busi_80_10_10_p1_fn_frozen/CRIS_R50/pred/55_normal.png,100.0000,100.0000,100.0000,0.0000
CRIS.pytorch/exp/busi_80_10_10_p1_fn_frozen/CRIS_R50/pred/53_malignant.png,51.2766,67.7918,56.6033,67.7918
CRIS.pytorch/exp/busi_80_10_10_p1_fn_frozen/CRIS_R50/pred/134_benign.png,85.4290,92.1420,90.2326,92.1420
CRIS.pytorch/exp/busi_80_10_10_p1_fn_frozen/CRIS_R50/pred/435_benign.png,82.0659,90.1497,87.2190,90.1497
CRIS.pytorch/exp/busi_80_10_10_p1_fn_frozen/CRIS_R50/pred/392_benign.png,20.0618,33.4191,-7.1000,33.4191
CRIS.pytorch/exp/busi_80_10_10_p1_fn_frozen/CRIS_R50/pred/374_benign.png,47.4037,64.3182,63.2127,64.3182
CRIS.pytorch/exp/busi_80_10_10_p1_fn_frozen/CRIS_R50/pred/75_malignant.png,0.1784,0.3561,-35.1960,0.3561
CRIS.pytorch/exp/busi_80_10_10_p1_fn_frozen/CRIS_R50/pred/102_malignant.png,73.0347,84.4162,61.9718,84.4162
CRIS.pytorch/exp/busi_80_10_10_p1_fn_frozen/CRIS_R50/pred/24_benign.png,85.4100,92.1309,88.0082,92.1309
CRIS.pytorch/exp/busi_80_10_10_p1_fn_frozen/CRIS_R50/pred/240_benign.png,72.6891,84.1849,64.8241,84.1849
CRIS.pytorch/exp/busi_80_10_10_p1_fn_frozen/CRIS_R50/pred/165_malignant.png,77.0693,87.0499,27.6871,87.0499
CRIS.pytorch/exp/busi_80_10_10_p1_fn_frozen/CRIS_R50/pred/13_malignant.png,71.3186,83.2584,67.7636,83.2584
CRIS.pytorch/exp/busi_80_10_10_p1_fn_frozen/CRIS_R50/pred/387_benign.png,69.9804,82.3394,68.8939,82.3394
CRIS.pytorch/exp/busi_80_10_10_p1_fn_frozen/CRIS_R50/pred/428_benign.png,79.5263,88.5957,77.2892,88.5957
CRIS.pytorch/exp/busi_80_10_10_p1_fn_frozen/CRIS_R50/pred/71_malignant.png,76.8710,86.9232,48.5635,86.9232
CRIS.pytorch/exp/busi_80_10_10_p1_fn_frozen/CRIS_R50/pred/128_malignant.png,81.3033,89.6876,36.5821,89.6876
CRIS.pytorch/exp/busi_80_10_10_p1_fn_frozen/CRIS_R50/pred/299_benign.png,5.3647,10.1831,-0.7842,10.1831
CRIS.pytorch/exp/busi_80_10_10_p1_fn_frozen/CRIS_R50/pred/210_benign.png,0.0000,0.0000,-14.9170,0.0000
CRIS.pytorch/exp/busi_80_10_10_p1_fn_frozen/CRIS_R50/pred/87_malignant.png,63.0111,77.3090,57.6338,77.3090
CRIS.pytorch/exp/busi_80_10_10_p1_fn_frozen/CRIS_R50/pred/48_malignant.png,83.6514,91.0980,82.2289,91.0980
CRIS.pytorch/exp/busi_80_10_10_p1_fn_frozen/CRIS_R50/pred/187_malignant.png,18.4224,31.1130,9.3999,31.1130
CRIS.pytorch/exp/busi_80_10_10_p1_fn_frozen/CRIS_R50/pred/199_malignant.png,70.8468,82.9361,70.4669,82.9361
CRIS.pytorch/exp/busi_80_10_10_p1_fn_frozen/CRIS_R50/pred/55_benign.png,75.3112,85.9172,82.1696,85.9172
CRIS.pytorch/exp/busi_80_10_10_p1_fn_frozen/CRIS_R50/pred/54_benign.png,87.6454,93.4160,79.9872,93.4160
CRIS.pytorch/exp/busi_80_10_10_p1_fn_frozen/CRIS_R50/pred/80_benign.png,83.1478,90.7986,53.5424,90.7986
