filename,iou,dice,ones_dice_diff,zeros_dice_diff
CRIS.pytorch/exp/busi_80_10_10_p1_i/CRIS_R50/pred/75_malignant.png,8.1686,15.1035,-20.4485,15.1035
CRIS.pytorch/exp/busi_80_10_10_p1_i/CRIS_R50/pred/73_normal.png,0.0000,0.0000,0.0000,-100.0000
CRIS.pytorch/exp/busi_80_10_10_p1_i/CRIS_R50/pred/72_benign.png,89.9486,94.7084,79.9170,94.7084
CRIS.pytorch/exp/busi_80_10_10_p1_i/CRIS_R50/pred/374_benign.png,37.3134,54.3478,53.2424,54.3478
CRIS.pytorch/exp/busi_80_10_10_p1_i/CRIS_R50/pred/24_benign.png,0.0000,0.0000,-4.1227,0.0000
CRIS.pytorch/exp/busi_80_10_10_p1_i/CRIS_R50/pred/102_malignant.png,69.5626,82.0495,59.6051,82.0495
CRIS.pytorch/exp/busi_80_10_10_p1_i/CRIS_R50/pred/134_benign.png,0.0000,0.0000,-1.9094,0.0000
CRIS.pytorch/exp/busi_80_10_10_p1_i/CRIS_R50/pred/337_benign.png,0.0000,0.0000,-5.1129,0.0000
CRIS.pytorch/exp/busi_80_10_10_p1_i/CRIS_R50/pred/154_benign.png,30.3849,46.6080,45.0236,46.6080
CRIS.pytorch/exp/busi_80_10_10_p1_i/CRIS_R50/pred/59_benign.png,84.7588,91.7507,81.7751,91.7507
CRIS.pytorch/exp/busi_80_10_10_p1_i/CRIS_R50/pred/186_benign.png,91.5436,95.5851,81.0472,95.5851
CRIS.pytorch/exp/busi_80_10_10_p1_i/CRIS_R50/pred/392_benign.png,82.4646,90.3897,49.8706,90.3897
CRIS.pytorch/exp/busi_80_10_10_p1_i/CRIS_R50/pred/435_benign.png,15.7737,27.2492,24.3186,27.2492
CRIS.pytorch/exp/busi_80_10_10_p1_i/CRIS_R50/pred/53_malignant.png,0.0000,0.0000,-11.1885,0.0000
CRIS.pytorch/exp/busi_80_10_10_p1_i/CRIS_R50/pred/209_malignant.png,8.7166,16.0355,11.9216,16.0355
CRIS.pytorch/exp/busi_80_10_10_p1_i/CRIS_R50/pred/198_malignant.png,24.1688,38.9289,24.0827,38.9289
CRIS.pytorch/exp/busi_80_10_10_p1_i/CRIS_R50/pred/41_normal.png,0.0000,0.0000,0.0000,-100.0000
CRIS.pytorch/exp/busi_80_10_10_p1_i/CRIS_R50/pred/103_normal.png,0.0000,0.0000,0.0000,-100.0000
CRIS.pytorch/exp/busi_80_10_10_p1_i/CRIS_R50/pred/55_normal.png,0.0000,0.0000,0.0000,-100.0000
CRIS.pytorch/exp/busi_80_10_10_p1_i/CRIS_R50/pred/293_benign.png,0.0000,0.0000,-7.8190,0.0000
CRIS.pytorch/exp/busi_80_10_10_p1_i/CRIS_R50/pred/240_benign.png,69.1678,81.7742,62.4133,81.7742
CRIS.pytorch/exp/busi_80_10_10_p1_i/CRIS_R50/pred/13_malignant.png,0.0000,0.0000,-15.4948,0.0000
CRIS.pytorch/exp/busi_80_10_10_p1_i/CRIS_R50/pred/128_malignant.png,22.2485,36.3988,-16.7067,36.3988
