filename,surface_dice,hausdorff_distance,iou,dice
CRIS.pytorch/exp/busi_80_10_10_p6_fn/CRIS_R50/pred/41_normal.png,,,,
CRIS.pytorch/exp/busi_80_10_10_p6_fn/CRIS_R50/pred/435_benign.png,15.4217,400.0000,90.8528,95.2072
CRIS.pytorch/exp/busi_80_10_10_p6_fn/CRIS_R50/pred/55_normal.png,,,,
CRIS.pytorch/exp/busi_80_10_10_p6_fn/CRIS_R50/pred/103_normal.png,,,,
CRIS.pytorch/exp/busi_80_10_10_p6_fn/CRIS_R50/pred/73_normal.png,,,,
CRIS.pytorch/exp/busi_80_10_10_p6_fn/CRIS_R50/pred/374_benign.png,0.0000,2088.0613,44.0124,61.1231
CRIS.pytorch/exp/busi_80_10_10_p6_fn/CRIS_R50/pred/186_benign.png,2.9221,1118.0340,92.2400,95.9634
CRIS.pytorch/exp/busi_80_10_10_p6_fn/CRIS_R50/pred/154_benign.png,3.7634,3962.3226,61.8504,76.4291
CRIS.pytorch/exp/busi_80_10_10_p6_fn/CRIS_R50/pred/209_malignant.png,6.4615,5003.9984,64.0543,78.0891
CRIS.pytorch/exp/busi_80_10_10_p6_fn/CRIS_R50/pred/75_malignant.png,2.0699,7117.5839,60.3944,75.3074
CRIS.pytorch/exp/busi_80_10_10_p6_fn/CRIS_R50/pred/24_benign.png,4.8096,640.3124,86.4714,92.7449
CRIS.pytorch/exp/busi_80_10_10_p6_fn/CRIS_R50/pred/134_benign.png,24.5353,583.0952,80.9059,89.4453
CRIS.pytorch/exp/busi_80_10_10_p6_fn/CRIS_R50/pred/337_benign.png,2.8219,948.6833,80.3480,89.1033
CRIS.pytorch/exp/busi_80_10_10_p6_fn/CRIS_R50/pred/53_malignant.png,3.5088,6370.2433,64.3217,78.2875
CRIS.pytorch/exp/busi_80_10_10_p6_fn/CRIS_R50/pred/59_benign.png,7.1871,1612.4515,86.0979,92.5297
CRIS.pytorch/exp/busi_80_10_10_p6_fn/CRIS_R50/pred/293_benign.png,7.1651,2282.5424,76.5229,86.7002
CRIS.pytorch/exp/busi_80_10_10_p6_fn/CRIS_R50/pred/72_benign.png,5.8182,14516.5423,84.9833,91.8821
CRIS.pytorch/exp/busi_80_10_10_p6_fn/CRIS_R50/pred/392_benign.png,2.7790,6239.3910,78.8338,88.1643
CRIS.pytorch/exp/busi_80_10_10_p6_fn/CRIS_R50/pred/198_malignant.png,0.4429,28873.5173,10.6081,19.1814
CRIS.pytorch/exp/busi_80_10_10_p6_fn/CRIS_R50/pred/102_malignant.png,1.6971,21115.1604,74.4627,85.3623
CRIS.pytorch/exp/busi_80_10_10_p6_fn/CRIS_R50/pred/299_benign.png,0.0000,11555.0855,0.0000,0.0000
CRIS.pytorch/exp/busi_80_10_10_p6_fn/CRIS_R50/pred/428_benign.png,8.8555,1476.4823,83.6559,91.1007
CRIS.pytorch/exp/busi_80_10_10_p6_fn/CRIS_R50/pred/240_benign.png,3.2491,5345.0912,77.5088,87.3295
CRIS.pytorch/exp/busi_80_10_10_p6_fn/CRIS_R50/pred/187_malignant.png,2.0057,10344.5638,60.7279,75.5661
CRIS.pytorch/exp/busi_80_10_10_p6_fn/CRIS_R50/pred/387_benign.png,15.1057,854.4004,93.4063,96.5907
CRIS.pytorch/exp/busi_80_10_10_p6_fn/CRIS_R50/pred/48_malignant.png,5.4591,2300.0000,85.3809,92.1140
CRIS.pytorch/exp/busi_80_10_10_p6_fn/CRIS_R50/pred/165_malignant.png,2.3930,4638.9654,82.9998,90.7102
CRIS.pytorch/exp/busi_80_10_10_p6_fn/CRIS_R50/pred/12_normal.png,,,,
CRIS.pytorch/exp/busi_80_10_10_p6_fn/CRIS_R50/pred/4_malignant.png,3.7849,9534.1491,66.5101,79.8872
CRIS.pytorch/exp/busi_80_10_10_p6_fn/CRIS_R50/pred/55_benign.png,4.8433,4162.9317,69.4112,81.9440
CRIS.pytorch/exp/busi_80_10_10_p6_fn/CRIS_R50/pred/87_malignant.png,4.7847,1581.1388,89.0231,94.1928
CRIS.pytorch/exp/busi_80_10_10_p6_fn/CRIS_R50/pred/199_malignant.png,4.1812,10611.7859,52.2914,68.6728
CRIS.pytorch/exp/busi_80_10_10_p6_fn/CRIS_R50/pred/13_malignant.png,1.6405,13060.2450,33.3647,50.0353
CRIS.pytorch/exp/busi_80_10_10_p6_fn/CRIS_R50/pred/71_malignant.png,1.5063,5643.5804,78.3252,87.8454
CRIS.pytorch/exp/busi_80_10_10_p6_fn/CRIS_R50/pred/411_benign.png,5.0456,1252.9964,91.8003,95.7249
CRIS.pytorch/exp/busi_80_10_10_p6_fn/CRIS_R50/pred/80_benign.png,1.2828,2745.9060,89.9304,94.6983
CRIS.pytorch/exp/busi_80_10_10_p6_fn/CRIS_R50/pred/54_benign.png,16.2637,984.8858,90.9874,95.2811
CRIS.pytorch/exp/busi_80_10_10_p6_fn/CRIS_R50/pred/128_malignant.png,2.6767,8626.7027,79.1522,88.3631
CRIS.pytorch/exp/busi_80_10_10_p6_fn/CRIS_R50/pred/210_benign.png,0.4255,10412.0123,32.4652,49.0169
CRIS.pytorch/exp/busi_80_10_10_p6_fn/CRIS_R50/pred/190_benign.png,4.6358,3310.5891,82.4657,90.3904
CRIS.pytorch/exp/busi_80_10_10_p6_fn/CRIS_R50/pred/66_normal.png,,,,
CRIS.pytorch/exp/busi_80_10_10_p6_fn/CRIS_R50/pred/133_normal.png,,,,
CRIS.pytorch/exp/busi_80_10_10_p6_fn/CRIS_R50/pred/270_benign.png,10.5516,984.8858,80.4814,89.1853
CRIS.pytorch/exp/busi_80_10_10_p6_fn/CRIS_R50/pred/49_normal.png,,,,
CRIS.pytorch/exp/busi_80_10_10_p6_fn/CRIS_R50/pred/141_benign.png,2.3682,6850.5474,77.8859,87.5684
CRIS.pytorch/exp/busi_80_10_10_p6_fn/CRIS_R50/pred/239_benign.png,11.4180,984.8858,84.0208,91.3166
CRIS.pytorch/exp/busi_80_10_10_p6_fn/CRIS_R50/pred/333_benign.png,1.2572,15953.0561,58.6207,73.9130
CRIS.pytorch/exp/busi_80_10_10_p6_fn/CRIS_R50/pred/116_malignant.png,0.4287,13225.7325,17.1327,29.2535
CRIS.pytorch/exp/busi_80_10_10_p6_fn/CRIS_R50/pred/60_normal.png,,,,
CRIS.pytorch/exp/busi_80_10_10_p6_fn/CRIS_R50/pred/169_malignant.png,0.0000,1476.4823,49.0971,65.8592
CRIS.pytorch/exp/busi_80_10_10_p6_fn/CRIS_R50/pred/53_normal.png,,,,
CRIS.pytorch/exp/busi_80_10_10_p6_fn/CRIS_R50/pred/71_normal.png,,,,
CRIS.pytorch/exp/busi_80_10_10_p6_fn/CRIS_R50/pred/308_benign.png,4.0462,8614.5226,50.6745,67.2635
CRIS.pytorch/exp/busi_80_10_10_p6_fn/CRIS_R50/pred/426_benign.png,3.0328,7261.5425,81.3296,89.7036
CRIS.pytorch/exp/busi_80_10_10_p6_fn/CRIS_R50/pred/23_benign.png,6.4516,1400.0000,91.8321,95.7422
CRIS.pytorch/exp/busi_80_10_10_p6_fn/CRIS_R50/pred/219_benign.png,0.5642,8805.1122,30.7661,47.0551
CRIS.pytorch/exp/busi_80_10_10_p6_fn/CRIS_R50/pred/49_benign.png,5.0378,2247.2205,93.5037,96.6428
CRIS.pytorch/exp/busi_80_10_10_p6_fn/CRIS_R50/pred/13_normal.png,,,,
CRIS.pytorch/exp/busi_80_10_10_p6_fn/CRIS_R50/pred/129_benign.png,7.9339,921.9544,84.1939,91.4188
CRIS.pytorch/exp/busi_80_10_10_p6_fn/CRIS_R50/pred/286_benign.png,5.0125,1000.0000,92.0112,95.8394
CRIS.pytorch/exp/busi_80_10_10_p6_fn/CRIS_R50/pred/116_benign.png,0.0000,inf,0.0000,0.0000
CRIS.pytorch/exp/busi_80_10_10_p6_fn/CRIS_R50/pred/214_benign.png,7.8613,1526.4338,84.6606,91.6932
CRIS.pytorch/exp/busi_80_10_10_p6_fn/CRIS_R50/pred/227_benign.png,2.7211,1500.0000,77.7020,87.4521
CRIS.pytorch/exp/busi_80_10_10_p6_fn/CRIS_R50/pred/264_benign.png,9.9778,600.0000,93.8497,96.8273
CRIS.pytorch/exp/busi_80_10_10_p6_fn/CRIS_R50/pred/20_benign.png,4.8780,800.0000,84.7972,91.7732
CRIS.pytorch/exp/busi_80_10_10_p6_fn/CRIS_R50/pred/64_malignant.png,1.5605,10720.0746,40.8160,57.9706
CRIS.pytorch/exp/busi_80_10_10_p6_fn/CRIS_R50/pred/244_benign.png,7.4336,781.0250,84.8556,91.8074
CRIS.pytorch/exp/busi_80_10_10_p6_fn/CRIS_R50/pred/138_benign.png,8.6705,1044.0307,65.6239,79.2445
CRIS.pytorch/exp/busi_80_10_10_p6_fn/CRIS_R50/pred/38_normal.png,,,,
CRIS.pytorch/exp/busi_80_10_10_p6_fn/CRIS_R50/pred/96_malignant.png,3.9430,4604.3458,77.8662,87.5560
CRIS.pytorch/exp/busi_80_10_10_p6_fn/CRIS_R50/pred/356_benign.png,4.3618,3301.5148,89.4566,94.4349
CRIS.pytorch/exp/busi_80_10_10_p6_fn/CRIS_R50/pred/220_benign.png,5.5130,1486.6069,78.6618,88.0567
