filename,iou,dice,ones_dice_diff,zeros_dice_diff
CRIS.pytorch/exp/camus_80_10_10_all_mixed/CRIS_R50/pred/patient0102_2CH_ES_gt_1.png,68.4568,81.2752,73.7803,81.2752
CRIS.pytorch/exp/camus_80_10_10_all_mixed/CRIS_R50/pred/patient0270_2CH_ES_gt_2.png,70.6451,82.7977,62.3830,82.7977
CRIS.pytorch/exp/camus_80_10_10_all_mixed/CRIS_R50/pred/patient0400_4CH_ES_gt_3.png,75.5781,86.0906,75.5550,86.0906
CRIS.pytorch/exp/camus_80_10_10_all_mixed/CRIS_R50/pred/patient0089_2CH_ES_gt_3.png,60.3464,75.2701,67.1759,75.2701
CRIS.pytorch/exp/camus_80_10_10_all_mixed/CRIS_R50/pred/patient0216_2CH_ES_gt_2.png,73.9262,85.0087,69.0186,85.0087
CRIS.pytorch/exp/camus_80_10_10_all_mixed/CRIS_R50/pred/patient0395_4CH_ES_gt_2.png,73.9819,85.0455,65.6083,85.0455
CRIS.pytorch/exp/camus_80_10_10_all_mixed/CRIS_R50/pred/patient0102_4CH_ES_gt_2.png,62.4111,76.8557,65.9441,76.8557
CRIS.pytorch/exp/camus_80_10_10_all_mixed/CRIS_R50/pred/patient0270_2CH_ES_gt_1.png,81.3146,89.6945,77.1821,89.6945
CRIS.pytorch/exp/camus_80_10_10_all_mixed/CRIS_R50/pred/patient0328_2CH_ES_gt_1.png,81.9643,90.0883,79.3863,90.0883
CRIS.pytorch/exp/camus_80_10_10_all_mixed/CRIS_R50/pred/patient0368_4CH_ES_gt_2.png,71.4232,83.3297,64.9898,83.3297
CRIS.pytorch/exp/camus_80_10_10_all_mixed/CRIS_R50/pred/patient0226_2CH_ED_gt_3.png,84.1100,91.3693,77.8159,91.3693
CRIS.pytorch/exp/camus_80_10_10_all_mixed/CRIS_R50/pred/patient0017_4CH_ES_gt_3.png,74.3689,85.3007,74.5754,85.3007
CRIS.pytorch/exp/camus_80_10_10_all_mixed/CRIS_R50/pred/patient0387_2CH_ES_gt_2.png,78.8002,88.1433,68.9116,88.1433
CRIS.pytorch/exp/camus_80_10_10_all_mixed/CRIS_R50/pred/patient0323_4CH_ED_gt_3.png,86.1967,92.5867,82.8789,92.5867
CRIS.pytorch/exp/camus_80_10_10_all_mixed/CRIS_R50/pred/patient0187_2CH_ED_gt_1.png,91.3554,95.4825,59.9892,95.4825
CRIS.pytorch/exp/camus_80_10_10_all_mixed/CRIS_R50/pred/patient0387_4CH_ES_gt_1.png,87.8854,93.5521,75.3682,93.5521
CRIS.pytorch/exp/camus_80_10_10_all_mixed/CRIS_R50/pred/patient0395_2CH_ED_gt_3.png,87.9084,93.5651,82.3698,93.5651
CRIS.pytorch/exp/camus_80_10_10_all_mixed/CRIS_R50/pred/patient0284_4CH_ES_gt_1.png,86.3978,92.7026,82.1727,92.7026
CRIS.pytorch/exp/camus_80_10_10_all_mixed/CRIS_R50/pred/patient0310_2CH_ES_gt_2.png,84.9728,91.8760,76.1404,91.8760
CRIS.pytorch/exp/camus_80_10_10_all_mixed/CRIS_R50/pred/patient0208_4CH_ED_gt_2.png,84.6292,91.6748,61.7126,91.6748
CRIS.pytorch/exp/camus_80_10_10_all_mixed/CRIS_R50/pred/patient0120_4CH_ED_gt_3.png,77.6736,87.4341,79.3771,87.4341
CRIS.pytorch/exp/camus_80_10_10_all_mixed/CRIS_R50/pred/patient0178_4CH_ED_gt_1.png,83.9243,91.2596,74.2045,91.2596
CRIS.pytorch/exp/camus_80_10_10_all_mixed/CRIS_R50/pred/patient0443_4CH_ED_gt_2.png,73.4590,84.6990,59.3002,84.6990
CRIS.pytorch/exp/camus_80_10_10_all_mixed/CRIS_R50/pred/patient0208_4CH_ED_gt_1.png,91.4126,95.5136,56.7116,95.5136
CRIS.pytorch/exp/camus_80_10_10_all_mixed/CRIS_R50/pred/patient0395_2CH_ED_gt_2.png,50.8421,67.4110,45.9805,67.4110
CRIS.pytorch/exp/camus_80_10_10_all_mixed/CRIS_R50/pred/patient0046_4CH_ED_gt_3.png,44.5057,61.5972,57.7611,61.5972
CRIS.pytorch/exp/camus_80_10_10_all_mixed/CRIS_R50/pred/patient0368_4CH_ED_gt_2.png,82.6063,90.4748,73.4345,90.4748
CRIS.pytorch/exp/camus_80_10_10_all_mixed/CRIS_R50/pred/patient0395_2CH_ES_gt_2.png,77.4844,87.3140,65.6471,87.3140
CRIS.pytorch/exp/camus_80_10_10_all_mixed/CRIS_R50/pred/patient0241_2CH_ES_gt_3.png,73.2562,84.5640,77.9419,84.5640
CRIS.pytorch/exp/camus_80_10_10_all_mixed/CRIS_R50/pred/patient0241_4CH_ED_gt_1.png,88.0219,93.6294,69.0911,93.6294
CRIS.pytorch/exp/camus_80_10_10_all_mixed/CRIS_R50/pred/patient0052_4CH_ED_gt_3.png,59.9604,74.9691,69.0588,74.9691
CRIS.pytorch/exp/camus_80_10_10_all_mixed/CRIS_R50/pred/patient0178_2CH_ED_gt_2.png,73.4618,84.7008,61.5373,84.7008
CRIS.pytorch/exp/camus_80_10_10_all_mixed/CRIS_R50/pred/patient0216_4CH_ES_gt_2.png,78.3072,87.8340,75.7239,87.8340
CRIS.pytorch/exp/camus_80_10_10_all_mixed/CRIS_R50/pred/patient0419_2CH_ES_gt_2.png,81.9235,90.0637,62.1454,90.0637
CRIS.pytorch/exp/camus_80_10_10_all_mixed/CRIS_R50/pred/patient0017_4CH_ED_gt_1.png,86.5275,92.7772,79.1733,92.7772
CRIS.pytorch/exp/camus_80_10_10_all_mixed/CRIS_R50/pred/patient0354_4CH_ES_gt_3.png,11.2770,20.2684,13.2698,20.2684
CRIS.pytorch/exp/camus_80_10_10_all_mixed/CRIS_R50/pred/patient0071_2CH_ES_gt_3.png,44.6858,61.7694,45.0932,61.7694
CRIS.pytorch/exp/camus_80_10_10_all_mixed/CRIS_R50/pred/patient0387_4CH_ED_gt_2.png,75.0710,85.7606,68.0810,85.7606
CRIS.pytorch/exp/camus_80_10_10_all_mixed/CRIS_R50/pred/patient0323_4CH_ES_gt_2.png,69.6000,82.0755,72.1939,82.0755
CRIS.pytorch/exp/camus_80_10_10_all_mixed/CRIS_R50/pred/patient0102_2CH_ES_gt_3.png,81.8036,89.9912,76.4686,89.9912
CRIS.pytorch/exp/camus_80_10_10_all_mixed/CRIS_R50/pred/patient0123_2CH_ED_gt_2.png,75.8272,86.2520,68.9851,86.2520
CRIS.pytorch/exp/camus_80_10_10_all_mixed/CRIS_R50/pred/patient0198_2CH_ES_gt_2.png,72.1181,83.8007,56.7797,83.8007
CRIS.pytorch/exp/camus_80_10_10_all_mixed/CRIS_R50/pred/patient0042_4CH_ED_gt_3.png,47.3258,64.2464,58.4548,64.2464
CRIS.pytorch/exp/camus_80_10_10_all_mixed/CRIS_R50/pred/patient0071_2CH_ED_gt_3.png,9.5491,17.4335,1.9737,17.4335
CRIS.pytorch/exp/camus_80_10_10_all_mixed/CRIS_R50/pred/patient0198_4CH_ES_gt_2.png,71.1729,83.1591,63.7495,83.1591
CRIS.pytorch/exp/camus_80_10_10_all_mixed/CRIS_R50/pred/patient0400_2CH_ED_gt_2.png,32.7195,49.3063,25.3238,49.3063
CRIS.pytorch/exp/camus_80_10_10_all_mixed/CRIS_R50/pred/patient0324_2CH_ES_gt_2.png,83.1543,90.8024,76.5391,90.8024
