filename,surface_dice,hausdorff_distance,iou,dice
CRIS.pytorch/exp/camus_80_10_10_p0_i/CRIS_R50/pred/patient0387_4CH_ES_gt_1.png,0.4644,15305.5545,19.3150,32.3764
CRIS.pytorch/exp/camus_80_10_10_p0_i/CRIS_R50/pred/patient0017_4CH_ES_gt_3.png,0.0000,14800.0000,11.2912,20.2913
CRIS.pytorch/exp/camus_80_10_10_p0_i/CRIS_R50/pred/patient0387_2CH_ES_gt_2.png,1.1299,11646.8880,12.5466,22.2958
CRIS.pytorch/exp/camus_80_10_10_p0_i/CRIS_R50/pred/patient0395_2CH_ED_gt_3.png,0.3325,21078.8994,11.3032,20.3107
CRIS.pytorch/exp/camus_80_10_10_p0_i/CRIS_R50/pred/patient0368_4CH_ES_gt_2.png,0.5305,13928.3883,16.9538,28.9922
CRIS.pytorch/exp/camus_80_10_10_p0_i/CRIS_R50/pred/patient0323_4CH_ED_gt_3.png,0.0000,14710.5404,10.9035,19.6631
CRIS.pytorch/exp/camus_80_10_10_p0_i/CRIS_R50/pred/patient0400_4CH_ES_gt_3.png,0.2801,17542.2347,16.3383,28.0876
CRIS.pytorch/exp/camus_80_10_10_p0_i/CRIS_R50/pred/patient0328_2CH_ES_gt_1.png,0.4372,17400.2874,9.5387,17.4161
CRIS.pytorch/exp/camus_80_10_10_p0_i/CRIS_R50/pred/patient0270_2CH_ES_gt_1.png,0.1221,15259.4233,11.7059,20.9583
CRIS.pytorch/exp/camus_80_10_10_p0_i/CRIS_R50/pred/patient0102_2CH_ES_gt_1.png,0.1738,19654.0072,7.0553,13.1807
CRIS.pytorch/exp/camus_80_10_10_p0_i/CRIS_R50/pred/patient0284_4CH_ES_gt_1.png,0.9057,17308.0906,7.2964,13.6005
CRIS.pytorch/exp/camus_80_10_10_p0_i/CRIS_R50/pred/patient0395_4CH_ES_gt_2.png,2.2760,11244.9989,18.5090,31.2365
CRIS.pytorch/exp/camus_80_10_10_p0_i/CRIS_R50/pred/patient0310_2CH_ES_gt_2.png,1.1561,15730.5435,3.5118,6.7854
CRIS.pytorch/exp/camus_80_10_10_p0_i/CRIS_R50/pred/patient0187_2CH_ED_gt_1.png,1.9487,14003.5710,47.1380,64.0732
CRIS.pytorch/exp/camus_80_10_10_p0_i/CRIS_R50/pred/patient0226_2CH_ED_gt_3.png,2.0270,17267.8893,7.9321,14.6982
CRIS.pytorch/exp/camus_80_10_10_p0_i/CRIS_R50/pred/patient0270_2CH_ES_gt_2.png,0.3784,12271.1043,16.1634,27.8288
CRIS.pytorch/exp/camus_80_10_10_p0_i/CRIS_R50/pred/patient0216_2CH_ES_gt_2.png,0.7600,16509.6941,9.6310,17.5698
CRIS.pytorch/exp/camus_80_10_10_p0_i/CRIS_R50/pred/patient0208_4CH_ED_gt_2.png,1.3234,8584.2880,24.0127,38.7262
CRIS.pytorch/exp/camus_80_10_10_p0_i/CRIS_R50/pred/patient0089_2CH_ES_gt_3.png,1.4706,18302.4589,9.5411,17.4201
CRIS.pytorch/exp/camus_80_10_10_p0_i/CRIS_R50/pred/patient0102_4CH_ES_gt_2.png,0.4890,16567.7397,7.4761,13.9121
CRIS.pytorch/exp/camus_80_10_10_p0_i/CRIS_R50/pred/patient0178_4CH_ED_gt_1.png,0.0000,15108.2759,19.3721,32.4567
CRIS.pytorch/exp/camus_80_10_10_p0_i/CRIS_R50/pred/patient0120_4CH_ED_gt_3.png,0.0000,16933.1037,8.3165,15.3560
CRIS.pytorch/exp/camus_80_10_10_p0_i/CRIS_R50/pred/patient0443_4CH_ED_gt_2.png,1.0870,9808.1599,21.6775,35.6311
CRIS.pytorch/exp/camus_80_10_10_p0_i/CRIS_R50/pred/patient0419_2CH_ES_gt_2.png,2.8092,8400.0000,14.5881,25.4618
CRIS.pytorch/exp/camus_80_10_10_p0_i/CRIS_R50/pred/patient0368_4CH_ED_gt_2.png,0.4606,13705.8382,15.7780,27.2556
CRIS.pytorch/exp/camus_80_10_10_p0_i/CRIS_R50/pred/patient0178_2CH_ED_gt_2.png,1.5393,13787.3130,15.9221,27.4704
CRIS.pytorch/exp/camus_80_10_10_p0_i/CRIS_R50/pred/patient0241_4CH_ED_gt_1.png,0.8804,10955.3640,39.8895,57.0300
CRIS.pytorch/exp/camus_80_10_10_p0_i/CRIS_R50/pred/patient0017_4CH_ED_gt_1.png,1.4618,16260.9963,15.8786,27.4056
CRIS.pytorch/exp/camus_80_10_10_p0_i/CRIS_R50/pred/patient0395_2CH_ED_gt_2.png,1.2903,11183.0228,14.8112,25.8009
CRIS.pytorch/exp/camus_80_10_10_p0_i/CRIS_R50/pred/patient0052_4CH_ED_gt_3.png,0.2799,27184.0026,4.3434,8.3253
CRIS.pytorch/exp/camus_80_10_10_p0_i/CRIS_R50/pred/patient0208_4CH_ED_gt_1.png,0.4459,11970.7978,48.2462,65.0893
CRIS.pytorch/exp/camus_80_10_10_p0_i/CRIS_R50/pred/patient0046_4CH_ED_gt_3.png,0.0000,16737.0846,3.7082,7.1512
CRIS.pytorch/exp/camus_80_10_10_p0_i/CRIS_R50/pred/patient0071_2CH_ES_gt_3.png,1.4842,16966.4375,19.3908,32.4830
CRIS.pytorch/exp/camus_80_10_10_p0_i/CRIS_R50/pred/patient0241_2CH_ES_gt_3.png,0.2142,28643.4984,6.1498,11.5869
CRIS.pytorch/exp/camus_80_10_10_p0_i/CRIS_R50/pred/patient0354_4CH_ES_gt_3.png,0.2255,25166.8433,6.1631,11.6107
CRIS.pytorch/exp/camus_80_10_10_p0_i/CRIS_R50/pred/patient0102_2CH_ES_gt_3.png,0.0000,17065.7552,14.0917,24.7024
CRIS.pytorch/exp/camus_80_10_10_p0_i/CRIS_R50/pred/patient0216_4CH_ES_gt_2.png,0.5384,16850.2226,7.4140,13.8045
CRIS.pytorch/exp/camus_80_10_10_p0_i/CRIS_R50/pred/patient0323_4CH_ES_gt_2.png,1.1542,16521.8038,4.4087,8.4450
CRIS.pytorch/exp/camus_80_10_10_p0_i/CRIS_R50/pred/patient0387_4CH_ED_gt_2.png,0.6332,11067.9718,12.4107,22.0810
CRIS.pytorch/exp/camus_80_10_10_p0_i/CRIS_R50/pred/patient0395_2CH_ES_gt_2.png,1.1489,12517.1882,13.4100,23.6487
CRIS.pytorch/exp/camus_80_10_10_p0_i/CRIS_R50/pred/patient0123_2CH_ED_gt_2.png,0.3444,13984.6344,8.5361,15.7296
CRIS.pytorch/exp/camus_80_10_10_p0_i/CRIS_R50/pred/patient0198_2CH_ES_gt_2.png,0.8536,10885.3112,22.7236,37.0321
CRIS.pytorch/exp/camus_80_10_10_p0_i/CRIS_R50/pred/patient0071_2CH_ED_gt_3.png,0.3265,18600.0000,14.5092,25.3415
CRIS.pytorch/exp/camus_80_10_10_p0_i/CRIS_R50/pred/patient0324_2CH_ED_gt_2.png,1.1930,13197.3482,10.6434,19.2391
CRIS.pytorch/exp/camus_80_10_10_p0_i/CRIS_R50/pred/patient0400_2CH_ED_gt_2.png,4.6729,9501.5788,10.2047,18.5196
CRIS.pytorch/exp/camus_80_10_10_p0_i/CRIS_R50/pred/patient0042_4CH_ED_gt_3.png,0.0000,23113.8487,6.7065,12.5700
CRIS.pytorch/exp/camus_80_10_10_p0_i/CRIS_R50/pred/patient0269_4CH_ES_gt_3.png,0.1090,28579.1882,11.3807,20.4357
CRIS.pytorch/exp/camus_80_10_10_p0_i/CRIS_R50/pred/patient0198_4CH_ES_gt_2.png,1.0375,11900.0000,8.0900,14.9690
CRIS.pytorch/exp/camus_80_10_10_p0_i/CRIS_R50/pred/patient0269_2CH_ED_gt_2.png,0.8757,9392.0179,9.5157,17.3778
CRIS.pytorch/exp/camus_80_10_10_p0_i/CRIS_R50/pred/patient0328_4CH_ED_gt_1.png,0.0000,15086.4177,19.0398,31.9890
CRIS.pytorch/exp/camus_80_10_10_p0_i/CRIS_R50/pred/patient0301_4CH_ES_gt_1.png,0.0000,18454.8097,12.6804,22.5069
CRIS.pytorch/exp/camus_80_10_10_p0_i/CRIS_R50/pred/patient0270_4CH_ES_gt_1.png,0.1717,18422.8119,8.7699,16.1257
CRIS.pytorch/exp/camus_80_10_10_p0_i/CRIS_R50/pred/patient0071_2CH_ED_gt_2.png,0.7071,14546.4772,6.9920,13.0701
CRIS.pytorch/exp/camus_80_10_10_p0_i/CRIS_R50/pred/patient0324_2CH_ES_gt_2.png,0.8871,15692.3548,9.3854,17.1602
