filename,iou,dice,ones_dice_diff,zeros_dice_diff
CRIS.pytorch/exp/camus_80_10_10_p2_i/CRIS_R50/pred/patient0395_2CH_ED_gt_3.png,0.0000,0.0000,-11.1953,0.0000
CRIS.pytorch/exp/camus_80_10_10_p2_i/CRIS_R50/pred/patient0395_4CH_ES_gt_2.png,14.1380,24.7735,5.3363,24.7735
CRIS.pytorch/exp/camus_80_10_10_p2_i/CRIS_R50/pred/patient0226_2CH_ED_gt_3.png,0.0000,0.0000,-13.5534,0.0000
CRIS.pytorch/exp/camus_80_10_10_p2_i/CRIS_R50/pred/patient0387_4CH_ES_gt_1.png,0.0000,0.0000,-18.1840,0.0000
CRIS.pytorch/exp/camus_80_10_10_p2_i/CRIS_R50/pred/patient0216_2CH_ES_gt_2.png,9.1415,16.7516,0.7615,16.7516
CRIS.pytorch/exp/camus_80_10_10_p2_i/CRIS_R50/pred/patient0323_4CH_ED_gt_3.png,0.0000,0.0000,-9.7078,0.0000
CRIS.pytorch/exp/camus_80_10_10_p2_i/CRIS_R50/pred/patient0270_2CH_ES_gt_2.png,18.9340,31.8395,11.4249,31.8395
CRIS.pytorch/exp/camus_80_10_10_p2_i/CRIS_R50/pred/patient0270_2CH_ES_gt_1.png,0.0000,0.0000,-12.5124,0.0000
CRIS.pytorch/exp/camus_80_10_10_p2_i/CRIS_R50/pred/patient0328_2CH_ES_gt_1.png,0.0000,0.0000,-10.7021,0.0000
CRIS.pytorch/exp/camus_80_10_10_p2_i/CRIS_R50/pred/patient0017_4CH_ES_gt_3.png,0.0000,0.0000,-10.7252,0.0000
CRIS.pytorch/exp/camus_80_10_10_p2_i/CRIS_R50/pred/patient0284_4CH_ES_gt_1.png,0.0000,0.0000,-10.5299,0.0000
CRIS.pytorch/exp/camus_80_10_10_p2_i/CRIS_R50/pred/patient0102_2CH_ES_gt_1.png,0.0000,0.0000,-7.4949,0.0000
CRIS.pytorch/exp/camus_80_10_10_p2_i/CRIS_R50/pred/patient0368_4CH_ES_gt_2.png,14.4276,25.2170,6.8772,25.2170
CRIS.pytorch/exp/camus_80_10_10_p2_i/CRIS_R50/pred/patient0387_2CH_ES_gt_2.png,3.8215,7.3616,-11.8701,7.3616
CRIS.pytorch/exp/camus_80_10_10_p2_i/CRIS_R50/pred/patient0310_2CH_ES_gt_2.png,19.0598,32.0172,16.2816,32.0172
