filename,iou,dice,ones_dice_diff,zeros_dice_diff
CRIS.pytorch/exp/camus_80_10_10_p6_fn/CRIS_R50/pred/patient0102_2CH_ES_gt_1.png,82.1449,90.1973,82.7024,90.1973
CRIS.pytorch/exp/camus_80_10_10_p6_fn/CRIS_R50/pred/patient0187_2CH_ED_gt_1.png,93.1600,96.4589,60.9656,96.4589
CRIS.pytorch/exp/camus_80_10_10_p6_fn/CRIS_R50/pred/patient0328_2CH_ES_gt_1.png,87.4628,93.3122,82.6101,93.3122
CRIS.pytorch/exp/camus_80_10_10_p6_fn/CRIS_R50/pred/patient0395_4CH_ES_gt_2.png,76.6763,86.7986,67.3615,86.7986
CRIS.pytorch/exp/camus_80_10_10_p6_fn/CRIS_R50/pred/patient0323_4CH_ED_gt_3.png,83.7968,91.1842,81.4764,91.1842
CRIS.pytorch/exp/camus_80_10_10_p6_fn/CRIS_R50/pred/patient0089_2CH_ES_gt_3.png,69.7659,82.1907,74.0965,82.1907
CRIS.pytorch/exp/camus_80_10_10_p6_fn/CRIS_R50/pred/patient0102_4CH_ES_gt_2.png,61.5961,76.2346,65.3231,76.2346
CRIS.pytorch/exp/camus_80_10_10_p6_fn/CRIS_R50/pred/patient0270_2CH_ES_gt_1.png,84.0966,91.3614,78.8490,91.3614
CRIS.pytorch/exp/camus_80_10_10_p6_fn/CRIS_R50/pred/patient0270_2CH_ES_gt_2.png,71.5609,83.4233,63.0087,83.4233
CRIS.pytorch/exp/camus_80_10_10_p6_fn/CRIS_R50/pred/patient0216_2CH_ES_gt_2.png,73.1920,84.5212,68.5312,84.5212
CRIS.pytorch/exp/camus_80_10_10_p6_fn/CRIS_R50/pred/patient0017_4CH_ES_gt_3.png,68.3981,81.2338,70.5086,81.2338
CRIS.pytorch/exp/camus_80_10_10_p6_fn/CRIS_R50/pred/patient0208_4CH_ED_gt_2.png,71.3624,83.2883,53.3261,83.2883
CRIS.pytorch/exp/camus_80_10_10_p6_fn/CRIS_R50/pred/patient0395_2CH_ED_gt_3.png,88.0416,93.6406,82.4452,93.6406
