filename,iou,dice,ones_dice_diff,zeros_dice_diff
CRIS.pytorch/exp/camus_80_10_10_p7_fn_frozen/CRIS_R50/pred/patient0270_2CH_ES_gt_1.png,80.4044,89.1380,76.6256,89.1380
CRIS.pytorch/exp/camus_80_10_10_p7_fn_frozen/CRIS_R50/pred/patient0387_2CH_ES_gt_2.png,77.4559,87.2959,68.0642,87.2959
CRIS.pytorch/exp/camus_80_10_10_p7_fn_frozen/CRIS_R50/pred/patient0216_2CH_ES_gt_2.png,79.1314,88.3501,72.3600,88.3501
CRIS.pytorch/exp/camus_80_10_10_p7_fn_frozen/CRIS_R50/pred/patient0187_2CH_ED_gt_1.png,91.8207,95.7359,60.2427,95.7359
CRIS.pytorch/exp/camus_80_10_10_p7_fn_frozen/CRIS_R50/pred/patient0400_4CH_ES_gt_3.png,73.4678,84.7048,74.1692,84.7048
CRIS.pytorch/exp/camus_80_10_10_p7_fn_frozen/CRIS_R50/pred/patient0208_4CH_ED_gt_2.png,74.5721,85.4342,55.4720,85.4342
CRIS.pytorch/exp/camus_80_10_10_p7_fn_frozen/CRIS_R50/pred/patient0017_4CH_ES_gt_3.png,77.4336,87.2818,76.5565,87.2818
CRIS.pytorch/exp/camus_80_10_10_p7_fn_frozen/CRIS_R50/pred/patient0328_2CH_ES_gt_1.png,84.4442,91.5661,80.8640,91.5661
CRIS.pytorch/exp/camus_80_10_10_p7_fn_frozen/CRIS_R50/pred/patient0102_2CH_ES_gt_1.png,80.3993,89.1348,81.6399,89.1348
CRIS.pytorch/exp/camus_80_10_10_p7_fn_frozen/CRIS_R50/pred/patient0089_2CH_ES_gt_3.png,69.1432,81.7570,73.6629,81.7570
CRIS.pytorch/exp/camus_80_10_10_p7_fn_frozen/CRIS_R50/pred/patient0102_4CH_ES_gt_2.png,61.1998,75.9304,65.0189,75.9304
CRIS.pytorch/exp/camus_80_10_10_p7_fn_frozen/CRIS_R50/pred/patient0284_4CH_ES_gt_1.png,70.6207,82.7809,72.2511,82.7809
CRIS.pytorch/exp/camus_80_10_10_p7_fn_frozen/CRIS_R50/pred/patient0387_4CH_ES_gt_1.png,87.8752,93.5464,75.3624,93.5464
CRIS.pytorch/exp/camus_80_10_10_p7_fn_frozen/CRIS_R50/pred/patient0323_4CH_ED_gt_3.png,85.3683,92.1067,82.3989,92.1067
CRIS.pytorch/exp/camus_80_10_10_p7_fn_frozen/CRIS_R50/pred/patient0368_4CH_ES_gt_2.png,71.8160,83.5964,65.2565,83.5964
CRIS.pytorch/exp/camus_80_10_10_p7_fn_frozen/CRIS_R50/pred/patient0270_2CH_ES_gt_2.png,66.8186,80.1093,59.6946,80.1093
CRIS.pytorch/exp/camus_80_10_10_p7_fn_frozen/CRIS_R50/pred/patient0226_2CH_ED_gt_3.png,55.1907,71.1263,57.5728,71.1263
CRIS.pytorch/exp/camus_80_10_10_p7_fn_frozen/CRIS_R50/pred/patient0310_2CH_ES_gt_2.png,86.0205,92.4850,76.7494,92.4850
CRIS.pytorch/exp/camus_80_10_10_p7_fn_frozen/CRIS_R50/pred/patient0395_2CH_ED_gt_3.png,88.7711,94.0516,82.8562,94.0516
CRIS.pytorch/exp/camus_80_10_10_p7_fn_frozen/CRIS_R50/pred/patient0395_4CH_ES_gt_2.png,76.8966,86.9396,67.5024,86.9396
CRIS.pytorch/exp/camus_80_10_10_p7_fn_frozen/CRIS_R50/pred/patient0178_4CH_ED_gt_1.png,87.0744,93.0907,76.0356,93.0907
CRIS.pytorch/exp/camus_80_10_10_p7_fn_frozen/CRIS_R50/pred/patient0443_4CH_ED_gt_2.png,74.3542,85.2910,59.8922,85.2910
CRIS.pytorch/exp/camus_80_10_10_p7_fn_frozen/CRIS_R50/pred/patient0208_4CH_ED_gt_1.png,86.2789,92.6341,53.8320,92.6341
CRIS.pytorch/exp/camus_80_10_10_p7_fn_frozen/CRIS_R50/pred/patient0354_4CH_ES_gt_3.png,91.2135,95.4049,88.4063,95.4049
CRIS.pytorch/exp/camus_80_10_10_p7_fn_frozen/CRIS_R50/pred/patient0120_4CH_ED_gt_3.png,84.4182,91.5508,83.4938,91.5508
CRIS.pytorch/exp/camus_80_10_10_p7_fn_frozen/CRIS_R50/pred/patient0241_4CH_ED_gt_1.png,79.5289,88.5973,64.0590,88.5973
CRIS.pytorch/exp/camus_80_10_10_p7_fn_frozen/CRIS_R50/pred/patient0178_2CH_ED_gt_2.png,78.9746,88.2523,65.0887,88.2523
CRIS.pytorch/exp/camus_80_10_10_p7_fn_frozen/CRIS_R50/pred/patient0395_2CH_ES_gt_2.png,64.6335,78.5180,56.8510,78.5180
CRIS.pytorch/exp/camus_80_10_10_p7_fn_frozen/CRIS_R50/pred/patient0419_2CH_ES_gt_2.png,80.1109,88.9573,61.0390,88.9573
CRIS.pytorch/exp/camus_80_10_10_p7_fn_frozen/CRIS_R50/pred/patient0368_4CH_ED_gt_2.png,71.2918,83.2402,66.1999,83.2402
CRIS.pytorch/exp/camus_80_10_10_p7_fn_frozen/CRIS_R50/pred/patient0046_4CH_ED_gt_3.png,47.4326,64.3448,60.5088,64.3448
CRIS.pytorch/exp/camus_80_10_10_p7_fn_frozen/CRIS_R50/pred/patient0216_4CH_ES_gt_2.png,81.8973,90.0479,77.9378,90.0479
CRIS.pytorch/exp/camus_80_10_10_p7_fn_frozen/CRIS_R50/pred/patient0395_2CH_ED_gt_2.png,66.2653,79.7103,58.2798,79.7103
CRIS.pytorch/exp/camus_80_10_10_p7_fn_frozen/CRIS_R50/pred/patient0052_4CH_ED_gt_3.png,0.0000,0.0000,-5.9102,0.0000
CRIS.pytorch/exp/camus_80_10_10_p7_fn_frozen/CRIS_R50/pred/patient0241_2CH_ES_gt_3.png,65.4714,79.1332,72.5111,79.1332
CRIS.pytorch/exp/camus_80_10_10_p7_fn_frozen/CRIS_R50/pred/patient0323_4CH_ES_gt_2.png,80.0051,88.8920,79.0105,88.8920
CRIS.pytorch/exp/camus_80_10_10_p7_fn_frozen/CRIS_R50/pred/patient0071_2CH_ES_gt_3.png,35.0640,51.9221,35.2459,51.9221
CRIS.pytorch/exp/camus_80_10_10_p7_fn_frozen/CRIS_R50/pred/patient0017_4CH_ED_gt_1.png,90.2184,94.8577,81.2538,94.8577
CRIS.pytorch/exp/camus_80_10_10_p7_fn_frozen/CRIS_R50/pred/patient0102_2CH_ES_gt_3.png,77.5867,87.3789,73.8564,87.3789
CRIS.pytorch/exp/camus_80_10_10_p7_fn_frozen/CRIS_R50/pred/patient0387_4CH_ED_gt_2.png,66.9564,80.2083,62.5286,80.2083
CRIS.pytorch/exp/camus_80_10_10_p7_fn_frozen/CRIS_R50/pred/patient0123_2CH_ED_gt_2.png,63.8573,77.9426,60.6757,77.9426
CRIS.pytorch/exp/camus_80_10_10_p7_fn_frozen/CRIS_R50/pred/patient0071_2CH_ED_gt_3.png,30.1683,46.3527,30.8930,46.3527
CRIS.pytorch/exp/camus_80_10_10_p7_fn_frozen/CRIS_R50/pred/patient0042_4CH_ED_gt_3.png,55.4711,71.3587,65.5671,71.3587
CRIS.pytorch/exp/camus_80_10_10_p7_fn_frozen/CRIS_R50/pred/patient0198_2CH_ES_gt_2.png,72.5508,84.0921,57.0711,84.0921
CRIS.pytorch/exp/camus_80_10_10_p7_fn_frozen/CRIS_R50/pred/patient0324_2CH_ED_gt_2.png,65.4005,79.0814,64.3847,79.0814
CRIS.pytorch/exp/camus_80_10_10_p7_fn_frozen/CRIS_R50/pred/patient0269_4CH_ES_gt_3.png,90.1212,94.8040,83.7598,94.8040
CRIS.pytorch/exp/camus_80_10_10_p7_fn_frozen/CRIS_R50/pred/patient0324_2CH_ES_gt_2.png,71.7166,83.5290,69.2657,83.5290
CRIS.pytorch/exp/camus_80_10_10_p7_fn_frozen/CRIS_R50/pred/patient0328_4CH_ED_gt_1.png,88.6511,93.9842,74.4641,93.9842
CRIS.pytorch/exp/camus_80_10_10_p7_fn_frozen/CRIS_R50/pred/patient0400_2CH_ED_gt_2.png,86.0973,92.5293,68.5468,92.5293
CRIS.pytorch/exp/camus_80_10_10_p7_fn_frozen/CRIS_R50/pred/patient0197_4CH_ED_gt_3.png,81.2453,89.6523,86.1896,89.6523
CRIS.pytorch/exp/camus_80_10_10_p7_fn_frozen/CRIS_R50/pred/patient0269_2CH_ED_gt_2.png,74.4751,85.3704,57.0694,85.3704
CRIS.pytorch/exp/camus_80_10_10_p7_fn_frozen/CRIS_R50/pred/patient0198_4CH_ES_gt_2.png,80.3715,89.1177,69.7081,89.1177
CRIS.pytorch/exp/camus_80_10_10_p7_fn_frozen/CRIS_R50/pred/patient0178_4CH_ED_gt_2.png,77.0555,87.0410,69.9927,87.0410
CRIS.pytorch/exp/camus_80_10_10_p7_fn_frozen/CRIS_R50/pred/patient0270_4CH_ES_gt_1.png,88.5254,93.9135,85.4900,93.9135
CRIS.pytorch/exp/camus_80_10_10_p7_fn_frozen/CRIS_R50/pred/patient0318_2CH_ES_gt_3.png,79.2471,88.4222,79.2434,88.4222
CRIS.pytorch/exp/camus_80_10_10_p7_fn_frozen/CRIS_R50/pred/patient0395_2CH_ES_gt_1.png,81.8580,90.0241,68.7314,90.0241
CRIS.pytorch/exp/camus_80_10_10_p7_fn_frozen/CRIS_R50/pred/patient0226_4CH_ED_gt_3.png,84.2417,91.4469,83.0130,91.4469
